olt,onu_id,consumo_total,horas_activas,ratio_up_down,estado,es_revendedor
OLT VSOL CARAQUITA,GPON01ONU72,375.63,79,0.4749676051360584,CRITICO,-1
OLT VSOL COLONIAS,GPON04ONU18,367.45000000000005,112,0.4191642206086822,CRITICO,-1
OLT VSOL COLONIAS,GPON06ONU23,288.22,91,0.35378111789572564,CRITICO,-1
OLT VSOL FLOR A,GPON06ONU8,280.85,110,0.48511448363386384,CRITICO,-1
OLT VSOL COLONIAS,GPON05ONU120,273.37,91,1.1812016277028643,CRITICO,-1
OLT VSOL FLOR A,GPON03ONU37,271.78,113,0.17227398205659075,CRITICO,-1
OLT VSOL FLOR A,GPON03ONU49,268.49,113,0.3174190382728165,CRITICO,-1
OLT VSOL COLONIAS,GPON03ONU109,261.96,81,0.08091603053435115,CRITICO,-1
OLT VSOL FLOR A,GPON05ONU43,247.65,113,0.25557696207665787,CRITICO,-1
OLT VSOL COLONIAS,GPON01ONU102,240.68,90,1.0912329481275524,CRITICO,-1
OLT VSOL COLONIAS,GPON07ONU2,232.48000000000002,91,0.48473623706731384,CRITICO,-1
OLT VSOL FLOR A,GPON03ONU21,229.72000000000003,113,0.33496048349604834,CRITICO,-1
OLT VSOL COLONIAS,GPON01ONU22,223.55,88,2.2764179979481165,CRITICO,-1
OLT VSOL CARAQUITA,GPON06ONU32,219.7,75,0.8286998501747961,CRITICO,-1
OLT VSOL CARAQUITA,GPON02ONU5,219.06,88,0.24416425285397855,NORMAL,1
OLT VSOL FLOR A,GPON05ONU83,218.53000000000003,110,0.08258198751610027,CRITICO,-1
OLT VSOL FLOR A,GPON05ONU73,216.73000000000002,112,0.3366019118100524,CRITICO,-1
OLT VSOL COLONIAS,GPON01ONU93,214.01,65,0.2157586774981537,CRITICO,-1
OLT VSOL COLONIAS,GPON02ONU14,208.78,91,0.134057577403585,NORMAL,1
OLT VSOL FLOR A,GPON03ONU32,207.63,112,1.0429991144347142,CRITICO,-1
OLT VSOL FLOR A,GPON03ONU73,207.23000000000002,106,0.3231388073043034,NORMAL,1
OLT VSOL FLOR A,GPON06ONU50,198.56,107,0.3508401932104225,NORMAL,1
OLT VSOL FLOR A,GPON03ONU22,198.38,108,0.1378914764253757,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU41,196.34,91,0.4482555137567309,NORMAL,1
OLT VSOL FLOR A,GPON03ONU45,196.3,113,0.1803258974204798,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU3,193.3,51,0.20174075225365248,CRITICO,-1
OLT VSOL COLONIAS,GPON06ONU10,189.84,90,0.339353746296035,NORMAL,1
OLT VSOL FLOR A,GPON03ONU5,189.07,111,0.14449152542372884,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU52,188.92,87,0.08900161401890708,NORMAL,1
OLT VSOL CARAQUITA,GPON02ONU50,187.74,42,0.018609950626661605,CRITICO,-1
OLT VSOL FLOR A,GPON04ONU32,185.82,111,0.2172147255338661,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU66,185.26000000000002,89,0.2682092004381161,NORMAL,1
OLT VSOL COLONIAS,GPON06ONU51,184.87,80,0.5422541086176691,CRITICO,-1
OLT VSOL FLOR A,GPON06ONU26,181.98000000000002,111,0.5937992643194955,CRITICO,-1
OLT VSOL COLONIAS,GPON04ONU37,181.87,110,0.2544488895020003,NORMAL,1
OLT VSOL FLOR A,GPON03ONU3,180.44,113,0.1397890215400164,NORMAL,1
OLT VSOL FLOR A,GPON06ONU12,177.48000000000002,113,0.25436426602586754,NORMAL,1
OLT VSOL FLOR A,GPON05ONU45,177.36,107,0.7006424393518074,CRITICO,-1
OLT VSOL FLOR A,GPON03ONU47,175.58999999999997,111,0.2818659658344284,NORMAL,1
OLT VSOL FLOR A,GPON03ONU27,175.32,112,0.22072134800167106,NORMAL,1
OLT VSOL FLOR A,GPON06ONU24,174.65,110,0.2542190305206463,NORMAL,1
OLT VSOL FLOR A,GPON03ONU79,170.82,110,0.6429739347888813,CRITICO,-1
OLT VSOL FLOR A,GPON06ONU13,170.37,109,0.08343402225755167,NORMAL,1
OLT VSOL FLOR A,GPON03ONU51,169.09,112,0.03793505616598122,NORMAL,1
OLT VSOL FLOR A,GPON04ONU67,168.21,111,0.06976596285932332,NORMAL,1
OLT VSOL COLONIAS,GPON02ONU9,167.5,91,0.09965861344537816,NORMAL,1
